url,title,dois
http://arxiv.org/pdf/2104.10944v1,,
http://arxiv.org/pdf/2401.10365v1,Recent Nanoninformatics Approaches for Developments in Nanobiotechnology and Nanomedicine,10.1002/smll.201906588;10.1006/jbin.2002.1042;10.1007/BF03215588;10.1007/s00607-012-0191-2;10.1016/B978-0-12-822878-4;10.1021/ja044607h;10.1039/C9NR05912A;10.1039/d1gc04103g;10.1049/nbt2;10.1056/NEJMra0912273;10.1080/08958378.2022.2115592;10.1103/PhysRev.136.B864;10.1126/science.282.5389.682;10.1186/s13321-022-00669-6;10.3390/nano10122493;10.3390/nano11071774;10.3762/bjnano.6.181;10.4067/S0716-97602011000100006
http://arxiv.org/pdf/0906.5022v1,,
http://arxiv.org/pdf/1811.01418v1,,
http://arxiv.org/pdf/physics/0504007v1,BUILDING A BETTER MOUSETRAP:  PATENTING BIOTECHNOLOGY IN THE EUROPEAN COMMUNITY,
http://arxiv.org/pdf/2101.11195v1,Microsoft Word - 20201230_Main text.docx,10.1002/smll.201602769;10.1016/0304;10.1016/S1389-1723(02)80202-X;10.1016/j.jmmm.2006.10.1164;10.1016/j.jmmm.2014.06.023;10.1021/acs.accounts.0c00179;10.1021/acs.analchem.8b04792;10.1038/lsa.2018.7;10.1038/nature03808;10.1038/nm.1711;10.1038/nm1469;10.1038/nnano.2008.39;10.1038/nprot.2017.042;10.1038/s41377-019-0183-5;10.1038/s41551-019-0454-8;10.1038/s41557-018-0025-8;10.1038/s41586-020-2917-1;10.1038/srep32360;10.1038/srep41940;10.1039/c6lc01007e;10.1039/c7lc00680b;10.1039/d0lc00609b;10.1063/1.1853694;10.1073/pnas.1509250112;10.1093/cid/ciu959;10.1126/sciadv.aay7629;10.1126/scitranslmed.3002048;10.3390/nano7090243;10.3390/s17102300;10.3390/s20061569;10.3390/s91008130
http://arxiv.org/pdf/2102.00879v1,Microsoft Word - evonano_methods.docx,10.1038/nature03095;10.3109/1061186X.2015.1051049
http://arxiv.org/pdf/2012.12561v2,arxive-update,10.1016/j.addr.2020.06.005;10.1016/j.jconrel.2021.06.039;10.1021/acsnano.9b02774;10.1038/s41568-019-0238-1;10.3389/fpubh.2020.00164
http://arxiv.org/pdf/1704.06959v1,Template for Electronic Submission to ACS Journals,10.1016/j.jmmm.2017.02.053
http://arxiv.org/pdf/0811.1520v1,,
http://arxiv.org/pdf/0903.1153v1,,
http://arxiv.org/pdf/1004.3448v2,,
http://arxiv.org/pdf/1101.0857v1,,
http://arxiv.org/pdf/1108.4769v1,Chapel Berret COCIS-11 Cond-Mat version,
http://arxiv.org/pdf/1201.3034v1,,10.1063/1.3673559
http://arxiv.org/pdf/1211.0912v1,Microsoft Word - drccbk-xxxx2012.doc,
http://arxiv.org/pdf/1506.01740v1,,
http://arxiv.org/pdf/1612.09455v1,"ReviewExchange Bias Effects in Iron Oxide Based Nanoparticle SystemsManh-Huong Phan1",
http://arxiv.org/pdf/1701.03352v1,,
http://arxiv.org/pdf/1705.06817v1,IJN-71847-dimensionality-reduction-and-function-approximation-of-plga-,10.2147/IJN.S71847
